id,title,year
10.1.1.89.9207,Write Markers for Probabilistic Quorum Systems,2007
10.1.1.88.1359,Write Markers for Probabilistic Quorum Systems,2007
10.1.1.108.8478,Reference Ontologies — Application Ontologies: Either/Or or Both/And?,
10.1.1.1.2490,Reference Ontologies — Application Ontologies:  Either/Or or Both/And?,2003
10.1.1.59.5519,Adaptive Routing for Intermittently Connected Mobile Ad Hoc Networks,2005
10.1.1.121.7316,Adaptive Routing for Intermittently Connected Mobile Ad Hoc Networks,2005
10.1.1.5.932,Lead Field Basis for FEM Source Localization  ,1999
10.1.1.3.2533,Lead Field Basis for FEM Source Localization ,1999
10.1.1.178.4340,385–395; MR1476320 (99a:52002)]. An overview of other related results is also given.,
10.1.1.169.2573,385–395; MR1476320 (99a:52002)]. An overview of other related results is also given.,
10.1.1.76.2175,Paravirtualization for HPC Systems,2006
10.1.1.112.3446,Paravirtualization for HPC Systems,2006
10.1.1.77.5470,Fingerprint classification by combination of flat and structural approaches,2001
10.1.1.142.1306,Fingerprint classification by combination of flat and structural approaches,2001
10.1.1.212.3815,References,
10.1.1.212.1256,References,
10.1.1.43.8609,Model based Bayesian Exploration,1999
10.1.1.33.4973,Model based Bayesian Exploration,1999
10.1.1.227.7452,PESA: Phrase pair extraction as sentence splitting,2005
10.1.1.129.8583,PESA: Phrase Pair Extraction as Sentence Splitting,2005
10.1.1.74.4531,A Component- and Message-Based Architectural Style for GUI Software,
10.1.1.26.4045,A Component- and Message-Based Architectural Style for GUI Software,1996
10.1.1.180.1751,Title of Each Class,2009
10.1.1.168.8,Title of Each Class,2009
10.1.1.38.3573,"Is It ""Economics and Psychology""?: The Case of Hyperbolic Discounting",
10.1.1.20.8918,"Is It ""Economics and Psychology""?: The Case of Hyperbolic Discounting",
10.1.1.187.7534,Previous Up Next Article Citations From References: 7 From Reviews: 2,
10.1.1.182.1598,Previous Up Next Article Citations From References: 7 From Reviews: 2,
10.1.1.129.1554,NuMA influences higher order chromatin organization in human mammary epithelium,2007
10.1.1.128.4185,NuMA influences higher order chromatin organization in human mammary epithelium,2007
10.1.1.67.9544,On flat-state connectivity of chains with fixed acute angles,2002
10.1.1.112.5553,On flat-state connectivity of chains with fixed acute angles,2002
10.1.1.32.8484,Fully Dynamic Transitive Closure: Breaking Through the O(n^2) Barrier,2000
10.1.1.1.9247,Fully Dynamic Transitive Closure: Breaking Through The O(n²)  Barrier,2000
10.1.1.6.285,Methodologies for Target Selection in Structural Genomics,2000
10.1.1.119.9102,Review Methodologies for target selection in structural genomics Abstract,
10.1.1.98.4162,Ten benchmark database queries for location-based services,2003
10.1.1.121.8750,Ten benchmark database queries for location-based services,2003
10.1.1.87.9361,Chapter 7 Depth estimation via sampling,2008
10.1.1.139.2637,  Depth estimation via sampling,2008
10.1.1.49.2865,Insertion of an Articulated Human into a Networked Virtual Environment,1994
10.1.1.39.6147,Insertion of an Articulated Human into a Networked Virtual Environment,1994
10.1.1.81.4430,TOPOLOGICAL CONJUGACY BETWEEN APERIODIC TILING DYNAMICAL SYSTEMS,
10.1.1.63.2502,TOPOLOGICAL CONJUGACY BETWEEN APERIODIC TILING DYNAMICAL SYSTEMS,
10.1.1.54.2933,Evolving Algebras and Partial Evaluation,1994
10.1.1.40.2308,Evolving Algebras and Partial Evaluation,1994
10.1.1.87.9006,"Learning a Dictionary of Shape-Components in Visual Cortex: Comparison with Neurons, Humans and Machines",2006
10.1.1.134.1032,"Learning a Dictionary of Shape-Components in Visual Cortex: Comparison with Neurons, Humans and Machines",2006
10.1.1.96.4674,Ishikawa & Geiger Mapping Image Restoration to a Graph Problem,
10.1.1.18.487,Mapping Image Restoration to a Graph Problem,1999
10.1.1.80.2858,Attacks on Bresson-Chevassut-Essiari-Pointcheval’s Group Key Agreement Scheme for Low-Power Mobile Devices. Available at http://eprint.iacr.org/2004/251,2004
10.1.1.73.7192,Attacks on Bresson-Chevassut-Essiari-Pointcheval’s Group Key Agreement Scheme for Low-Power Mobile Devices. Available at http://eprint.iacr.org/2004/251,2004
10.1.1.73.3144,Towards a computational theory of rat navigation,1994
10.1.1.40.4852,Towards a Computational Theory of Rat Navigation,1994
10.1.1.194.2559,Hazardous Weather Conditions Policy,2003
10.1.1.194.2545,All Forest Service Employees in the Portland Commuting Area,
10.1.1.177.8464,INTEGER,
10.1.1.177.8388,INTEGER,
10.1.1.93.7066,Quincunx fundamental refinable functions and quincunx biorthogonal wavelets,1999
10.1.1.153.7053,Quincunx fundamental refinable functions and quincunx biorthogonal wavelets,1999
10.1.1.221.7572,On Leighton’s graph covering theorem,
10.1.1.169.2388,On Leighton’s graph covering theorem,
10.1.1.146.4368,CU-TMP: Temporal relation classification using syntactic and semantic features,2007
10.1.1.111.9945,CU-TMP: Temporal Relation Classification Using Syntactic and Semantic Features,
10.1.1.52.2486,QoS Routing Mechanisms and OSPF Extensions,1998
10.1.1.5.4182,QoS Routing Mechanisms and OSPF Extensions,1997
10.1.1.36.5906,A Mobile Manipulator,1996
10.1.1.36.4161,A Mobile Manipulator,1999
10.1.1.56.3828,Complexity of Computing Semi-algebraic Descriptions of the Connected Components of a Semi-algebraic Set,1998
10.1.1.2.3165,Complexity of Computing Semi-algebraic Descriptions of the Connected Components of a Semi-algebraic Set,1997
10.1.1.79.4446,Symbolic Computational Techniques for Solving Games,
10.1.1.129.3184,Symbolic Computational Techniques for Solving Games,
10.1.1.6.1860,High-Level Synthesis of Nonprogrammable Hardware Accelerators,2000
10.1.1.155.498, High-Level Synthesis of Nonprogrammable Hardware Accelerators,2000
10.1.1.118.9528,Testing Monadic Code with QuickCheck,2002
10.1.1.111.1618,Testing Monadic Code with QuickCheck,
10.1.1.16.493,Extensible Virtual Machines,2001
10.1.1.16.2219,Extensible virtual machines,2001
10.1.1.96.9361,Abstract GenIc: A Single Pass Generalized Incremental Algorithm for Clustering,
10.1.1.1.5567,GenIc: A Single Pass Generalized Incremental Algorithm for Clustering,2004
10.1.1.228.8436,H.: Geodesic distance-weighted shape vector image diffusion,2008
10.1.1.219.5099,Geodesic distance-weighted shape vector image diffusion,
10.1.1.231.8651,The bag-of-opinions method for review rating prediction from sparse text patterns,2010
10.1.1.229.1053,The bag-of-opinions method for review rating prediction from sparse text patterns,2010
10.1.1.49.5558,Abductive Plan Recognition and Diagnosis: A Comprehensive Empirical Evaluation,1992
10.1.1.4.1954, 	 Abductive plan recognition and diagnosis: A comprehensive empirical evaluation ,1992
10.1.1.226.8283,Cross-Cutting Models of Lexical Semantics,
10.1.1.224.5470,Cross-Cutting Models of Lexical Semantics,
10.1.1.172.9312,Obsoletes: 2253 Lightweight Directory Access Protocol (v3): UTF-8 String Representation of Distinguished Names,2001
10.1.1.172.9216,Obsoletes: 2253 Lightweight Directory Access Protocol (v3): UTF-8 String Representation of Distinguished Names,2001
10.1.1.90.6865,Abstract,2003
10.1.1.63.7017,Abstract,
10.1.1.187.4658,Language Reference,1997
10.1.1.183.64,Language Reference,1997
10.1.1.170.8142,Previous Up Next Article Citations From References: 0 From Reviews: 0,
10.1.1.169.3189,Previous Up Next Article Citations From References: 0 From Reviews: 0,
10.1.1.38.1107,Sensitivity Profiles from an Array of Coils for Encoding and Reconstruction in Parallel (SPACE RIP),2000
10.1.1.139.5197,Sensitivity profiles from an array of coils for encoding and reconstruction,2000
10.1.1.49.1559,FDTD and Related Publications,1999
10.1.1.48.930,FDTD and Related Publications,
10.1.1.83.5547,An RPC mechanism for transportable agents,1996
10.1.1.147.1024,An RPC mechanism for transportable agents,1996
10.1.1.224.6866,Jointly Learning to Extract and Compress,
10.1.1.207.5636,Jointly Learning to Extract and Compress,
10.1.1.68.9507,Integrating Transaction Services into Web-based Software Development Environments,
10.1.1.65.5825,Integrating Transaction Services into Web-based Software Development Environments,
10.1.1.84.497,Pacific Symposium on Biocomputing 8:565-576(2003) FUNCTIONAL DISCRIMINATION OF GENE EXPRESSION PATTERNS IN TERMS OF THE GENE ONTOLOGY,
10.1.1.100.6547,Functional discrimination of gene expression patterns in terms of the gene ontology,2003
10.1.1.204.1518,"Item 3.2 of the provisional agenda* COMPILATION OF VIEWS ON THE POTENTIAL ENVIRONMENTAL, CULTURAL AND SOCIO-ECONOMIC IMPACTS OF GENETICALLY MODIFIED TREES",2008
10.1.1.178.2162,"Item 3.4 of the provisional agenda* COMPILATION OF VIEWS ON THE POTENTIAL ENVIRONMENTAL, CULTURAL AND SOCIO-ECONOMIC IMPACTS OF GENETICALLY MODIFIED TREES",2008
10.1.1.77.8783,Trading Memory for Randomness \Lambda,
10.1.1.138.4254,Trading Memory for Randomness \Lambda,
10.1.1.73.5079,An Empirical Evaluation of Context-Sensitive Pose Estimators in an Urban Outdoor Environment  ,
10.1.1.64.1303,An Empirical Evaluation of Context-Sensitive Pose Estimators in an Urban Outdoor Environment   ,
10.1.1.74.2368,Computer Security is Not a Science (but it should be),
10.1.1.13.9903,Computer Security is Not a Science (but it should be),
10.1.1.183.9194,Previous Up Next Article Citations From References: 8 From Reviews: 0,
10.1.1.167.1514,Previous Up Next Article Citations From References: 8 From Reviews: 0,
10.1.1.54.1855,Automatic Synthesis of Control Programs in Polynomial Time for an Assembly Line,1996
10.1.1.26.3390,Automatic Synthesis of Control Programs in Polynomial Time for an Assembly Line,
10.1.1.85.5694,Joint nonparametric alignment for analyzing spatial gene expression patterns in drosophila imaginal discs,
10.1.1.112.2448,Joint nonparametric alignment for analyzing spatial gene expression patterns in drosophila imaginal discs,
10.1.1.87.7740,Is MPI Suitable for a Generative Design-Pattern System?,
10.1.1.59.6201,Is MPI Suitable for a Generative Design-Pattern System?,2005
10.1.1.180.2178,the American Legislative Process Summary,2008
10.1.1.165.4526,the American Legislative Process Summary,2008
10.1.1.216.225,"PRODUCTS, INTEL ASSUMES NO LIABILITY WHATSOEVER AND INTEL DISCLAIMS ANY EXPRESS OR IMPLIED WARRANTY, RELATING TO SALE AND/OR USE OF INTEL PRODUCTS INCLUDING LIABILITY OR WARRANTIES",
10.1.1.208.4638,"PRODUCTS, INTEL ASSUMES NO LIABILITY WHATSOEVER AND INTEL DISCLAIMS ANY EXPRESS OR IMPLIED WARRANTY, RELATING TO SALE AND/OR USE OF INTEL PRODUCTS INCLUDING LIABILITY OR WARRANTIES",
10.1.1.186.1251,How to Play Unique Games on Expanders,
10.1.1.169.8566,How to Play Unique Games on Expanders,
10.1.1.144.649,Securing distributed systems with information flow control,2006
10.1.1.113.5719,Securing distributed systems with information flow control,2006
10.1.1.180.9027,Editor: Paul Hoffman Internet Mail Consortium Enhanced Security Services for S/MIME,1998
10.1.1.180.8177,Editor: Paul Hoffman Internet Mail Consortium Enhanced Security Services for S/MIME,1998
10.1.1.219.6360,ACKNOWLEDGEMENT,
10.1.1.147.3014,ACKNOWLEDGEMENT,
10.1.1.38.1982,A Mechanical Verification of the Alternating Bit Protocol,1981
10.1.1.133.4474,A Mechanical Verification of the Alternating Bit Protocol,1981
10.1.1.83.7499,Contents Editor’s Introduction: The Challenges and Opportunities pp. 1-4,
10.1.1.112.9738,Contents Editor’s Introduction: The Challenges and Opportunities pp. 1-4,
10.1.1.53.3337,Program Slicing,1992
10.1.1.31.6660,Program Slicing,1992
10.1.1.69.8113,Backup path allocation based on a correlated link failure probability model in overlay networks,2002
10.1.1.69.7312,Backup path allocation based on a correlated link failure probability model in overlay networks,2002
10.1.1.224.3770,19 Influenza Influenza,2011
10.1.1.224.1983,19 Influenza Influenza,2011
10.1.1.49.7849,Resolving Ambiguity for Cross-language Retrieval,1998
10.1.1.21.4673,Resolving Ambiguity for Cross-language Retrieval,1998
10.1.1.50.2773, 	 A Logic-based Knowledge Representation for Authorization with Delegation ,1999
10.1.1.14.6482,A Logic-based Knowledge Representation for Authorization with Delegation,1999
10.1.1.190.9025,Modular curves and Ramanujan’s continued fraction,
10.1.1.164.2486,MODULAR CURVES AND RAMANUJAN’S CONTINUED FRACTION,
10.1.1.207.214,Strong hydrodynamic limit for attractive particle systems on Z,2010
10.1.1.165.9793,Strong hydrodynamic limit for attractive particle systems on Z,2010
10.1.1.211.7178,An overview of data warehousing and OLAP technology,1997
10.1.1.133.6667,An overview of data warehousing and OLAP technology,1997
10.1.1.174.1952,RELB−RUPA,
10.1.1.167.215,RELB−RUPA,
10.1.1.20.4800,A Bibliography of Papers in Lecture Notes in Computer Science (2002) (Part 4 of 4),2002
10.1.1.15.6066,A Bibliography of Papers in Lecture Notes in Computer Science (2002) (Part 4 of 4),2002
10.1.1.16.5136,Functional Abstraction driven Design Space Exploration of Heterogeneous Programmable Architectures,2001
10.1.1.13.619,Functional Abstraction driven Design Space Exploration of Heterogeneous Programmable Architectures,2001
10.1.1.22.6188,Modeling and Rendering of Weathered Stone,0
10.1.1.147.3363,Modeling and Rendering of Weathered Stone,1999
10.1.1.46.8264,A Declarative Semantics for Behavioral Inheritance and Conflict Resolution,1995
10.1.1.46.7869,A Declarative Semantics for Behavioral Inheritance and Conflict Resolution,1995
10.1.1.56.4045,Recurrences and Legendre Transform,1992
10.1.1.29.9108,Recurrences and Legendre Transform,1992
10.1.1.55.8210,RTP: A Transport Protocol for Real-Time Applications,1994
10.1.1.32.7028,Status of this Memo,
10.1.1.186.7557,Aggregates for Constraint Handling Rules,2007
10.1.1.169.9186,Aggregates for Constraint Handling Rules,2007
10.1.1.24.6252,Smart Videoconferencing,2000
10.1.1.135.8369,Smart videoconferencing,2000
10.1.1.21.7402,Naturally Conveyed Explanations of Device Behavior,2001
10.1.1.16.8449,Naturally Conveyed Explanations of Device Behavior,2001
10.1.1.75.4229,ContextContacts: re-designing Smartphone’s contact book to support mobile awareness and collaboration,2005
10.1.1.59.9133,ContextContacts: Re-Designing SmartPhone's Contact Book to Support Mobile Awareness and Collaboration,2005
10.1.1.8.817,Predictive Models for the Breeder Genetic Algorithm I. Continuous Parameter Optimization,1993
10.1.1.30.9381,Predictive Models for the Breeder Genetic Algorithm -- I. Continuous Parameter Optimization,1993
10.1.1.185.2397,Linear Filtering for Optimized Approach in Satellite Image Enhancement 1,
10.1.1.176.4946,Linear Filtering for Optimized Approach in Satellite Image Enhancement 1,
10.1.1.41.5224,Properties of Terms in Continuation-Passing Style in an Ordered Logical Framework,2000
10.1.1.25.5401,Properties of Terms in Continuation-Passing Style in an Ordered Logical Framework,2000
10.1.1.35.8103,Scalable Migration for Mobile Agents,
10.1.1.35.6788,Scalable Migration for Mobile Agents,1999
10.1.1.129.6712,The dangers of replication and a solution,1996
10.1.1.116.1182,The dangers of replication and a solution,1996
10.1.1.187.7185,Previous Up Next Article Citations From References: 7 From Reviews: 2,
10.1.1.172.5408,Previous Up Next Article Citations From References: 8 From Reviews: 2,
10.1.1.87.2959,Graph kernels versus graph representations: a case study in parse ranking,
10.1.1.163.3290,Graph kernels versus graph representations: a case study in parse ranking,
10.1.1.80.6347,MEAD - a platform for multidocument multilingual text summarization,2004
10.1.1.117.5978,MEAD - a platform for multidocument multilingual text summarization,2004
10.1.1.58.6683,A Parameterized Type System for Race-Free Java Programs  ,2001
10.1.1.21.5977,A Parameterized Type System for Race-Free Java Programs,2001
10.1.1.81.6408,Abstract,2006
10.1.1.74.3296,Abstract,2006
10.1.1.164.3234,Lesion in a basis function model of spatial representations: Comparison with hemineglect,1996
10.1.1.138.7886,Simulating a lesion in a basis function model of spatial representations: comparison with hemineglect,2001
10.1.1.190.2303,e-Business Applications,2006
10.1.1.173.8454,e-Business Applications,2006
10.1.1.93.4031,The Bulk Index Join: A Generic Approach to Processing Non-Equijoins,1999
10.1.1.7.4123,The Bulk Index Join:,1999
10.1.1.138.1117,Analyzing stripped device-driver executables,2008
10.1.1.117.3806,Analyzing stripped device-driver executables,2008
10.1.1.131.559,1. Motivation: Implementation of Target Recognition Applications Using Pipelined Reconfigurable Hardware,
10.1.1.105.3558,1. Motivation: Implementation of Target Recognition Applications Using Pipelined Reconfigurable Hardware,
10.1.1.122.1668,1 Introduction Code Checking and Visualization of an Architecture Design,
10.1.1.112.1050,1 Introduction Code Checking and Visualization of an Architecture Design,
10.1.1.178.9381,and all its “references,1981
10.1.1.170.7249,and all its “references,1981
10.1.1.122.8989,V4 DRAFT 1/9/05,2005
10.1.1.104.611,V4 DRAFT 1/9/05,2005
10.1.1.190.6952,References,
10.1.1.183.8111,References,
10.1.1.216.977,5 Don’t All Running Programs Introspect? 5,2010
10.1.1.155.477,An Alternative to Working on Machine Consciousness,2009
10.1.1.35.6545,Hoard: A Scalable Memory Allocator for Multithreaded Applications,2000
10.1.1.1.4174,Hoard: A Scalable Memory Allocator for Multithreaded Applications,2000
10.1.1.115.5442,Trust-based mechanism design,2004
10.1.1.111.3397,Trust-based mechanism design,2004
10.1.1.19.2460,Integration of Advice in an Action-Selection Architecture,2002
10.1.1.1.9330,Integration of Advice in an Action-Selection Architecture,2002
10.1.1.5.7843,Subtyping Patterns for Active Objects,2000
10.1.1.20.9835,Subtyping Patterns for Active Objects,2000
10.1.1.190.6279,References,
10.1.1.183.7499,References,
10.1.1.63.2506,Run-time support for distributed sharing in safe languages,2003
10.1.1.15.2559,Run-Time Support for Distributed Sharing in Safe Languages,2002
10.1.1.18.1665,Code Compression,1997
10.1.1.147.3931,Code compression,1997
10.1.1.51.7088,The Shape Of A Typical Boxed Plane Partition,1996
10.1.1.44.4010,The Shape of a Typical Boxed Plane Partition,1998
10.1.1.42.5336,Querying as an Enabling Technology in Software Reengineering,1999
10.1.1.30.2363,Querying as an Enabling Technology in Software Reengineering,1999
10.1.1.142.3928,"Gaps in the differential forms spectrum on cyclic coverings, Preprint (arXiv:0708.3981",2007
10.1.1.110.2611,Gaps in the differential forms spectrum on cyclic coverings ,2007
10.1.1.175.9170,Technical report HW-MACS-TR-0079 A constraint system for a SML type error slicer,
10.1.1.175.7787,Technical report HW-MACS-TR-0079 A constraint system for a SML type error slicer,
10.1.1.23.8510,Computing Partial Data Cubes for Parallel Data Warehousing Applications,2001
10.1.1.111.4196,Computing partial data cubes for parallel data warehousing applications,2001
10.1.1.23.8906,A Unified Approach to Spatial Outliers Detection,2003
10.1.1.22.3739,A Unified Approach to Spatial Outliers Detection,2003
10.1.1.60.5900,Indexing Data-Oriented Overlay Networks,2005
10.1.1.59.7332,Indexing Data-Oriented Overlay Networks,2005
10.1.1.28.5031,Grid Information Services for Distributed Resource Sharing,2001
10.1.1.22.741,Grid Information Services for Distributed Resource Sharing,2001
10.1.1.73.7467,Revisiting R-tree construction principles,2002
10.1.1.14.8651,Revisiting R-tree Construction Principles,2002
10.1.1.44.641,The Future of Spin Networks,1997
10.1.1.144.7257,The future of spin networks,1997
10.1.1.142.3479,Musical instrument identification based on f0-dependent multivariate normal distribution,
10.1.1.141.193,Musical instrument identification based on F0-dependent multivariate normal distribution,2003
10.1.1.188.8583,"Measurement, Experimentation, Performance",
10.1.1.187.9582,"Measurement, Experimentation, Performance",
10.1.1.120.6524,"Montana smart pointers: They're smart, and they're pointers",1997
10.1.1.116.4564,"Montana smart pointers: They're smart, and they're pointers",1997
10.1.1.154.6270,CSMET: Comparative Genomic Motif Detection via Multi- Resolution,2007
10.1.1.141.7968,CSMET: Comparative Genomic Motif Detection via Multi- Resolution,2007
10.1.1.97.9144,Improving Automatic Indexing through Concept Combination and Term Enrichment,
10.1.1.15.266,Improving Automatic Indexing through Concept Combination,
10.1.1.85.9375,Detecting Causal Relationships in Distributed Computations,1994
10.1.1.71.2130,Detecting Causal Relationships in Distributed Computations,1994
10.1.1.36.6331,Boosting for Document Routing,2000
10.1.1.103.4081,ABSTRACT Boosting for Document Routing,
10.1.1.41.3037,"Manageability, Availability and Performance in Porcupine: A Highly Scalable, Cluster-Based Mail Service",1999
10.1.1.186.3782,"Manageability, availability and performance in Porcupine: a highly-scalable cluster-based mail service",1999
10.1.1.72.7133,Towards usable VR: An empirical study of user interfaces for immersive virtual environments,1999
10.1.1.34.2039,Towards Usable VR: An Empirical Study of User Interfaces for Immersive Virtual Environments,0
10.1.1.63.3138,Multi-value-functions: Efficient automatic action hierarchies for multiple goal MDPs,1999
10.1.1.31.4024,Multi-Value-Functions: Efficient Automatic Action Hierarchies for Multiple Goal MDPs,1999
10.1.1.38.6121,Confidence Measure Based Language Identification,2000
10.1.1.25.6221,Confidence Measure Based Language Identification,2000
10.1.1.78.7325,Managing Deadline Miss Ratio and Sensor Data Freshness in Real-Time Databases,2004
10.1.1.10.8604,Managing Deadline Miss Ratio and Sensor Data Freshness in Real-Time Databases,2004
10.1.1.46.6466,Decoupled Simulation in Virtual Reality with The MR Toolkit,1993
10.1.1.192.4038,Decoupled Simulation in Virtual Reality with The MR Toolkit,1993
10.1.1.4.1254,"Misperception, Communication and Diversity",2002
10.1.1.11.9004,"Misperception, Communication and Diversity",2002
10.1.1.52.2810,Intelligent Built-in Torque Sensor for Harmonic Drive Systems,1997
10.1.1.31.5488,Intelligent Built-in Torque Sensor for Harmonic Drive Systems,1997
10.1.1.220.234,Convergence Distance,
10.1.1.145.7164,Convergence Distance,
10.1.1.163.1678,Bichromatic separability with two boxes: a general approach,2009
10.1.1.145.3592,Bichromatic separability with two boxes: a general approach,2009
10.1.1.76.5251,Creditflow -controlled ATM for MP interconnection: the ATLAS I single-chip ATM switch,1998
10.1.1.40.4535,Credit-Flow-Controlled ATM for MP Interconnection: the ATLAS I Single-Chip ATM Switch,1998
10.1.1.227.6950,FaceTracer: A search engine for large collections of images with faces. ECCV,2008
10.1.1.147.311,FaceTracer: A Search Engine for Large Collections of Images with Faces,
10.1.1.138.1549,Accepted dd/mm/yyyy,
10.1.1.121.9958,Accepted dd/mm/yyyy,
10.1.1.81.1567,Non-Leftmost Unfolding in Partial Evaluation of Logic Programs with Impure Predicates,2006
10.1.1.65.3765,Non-Leftmost Unfolding in Partial Evaluation of Logic Programs with Impure Predicates,2006
10.1.1.183.7905,Set Systems and Families of Permutations with Small Traces,
10.1.1.183.5765,Set Systems and Families of Permutations with Small Traces,2009
10.1.1.218.5816,Types of Requests for ERC Review............................................................................................... 2 Exempt Status:...............................................................................................................,
10.1.1.212.1305,Types of Requests for ERC Review............................................................................................... 2,
10.1.1.81.7810,BUREAU OF ECONOMICS,2004
10.1.1.79.6953,BUREAU OF ECONOMICS,2004
10.1.1.49.565,"Topologies, Migration Rates, and Multi-Population Parallel Genetic Algorithms",1999
10.1.1.28.5387,"Topologies, Migration Rates, and Multi-Population Parallel Genetic Algorithms",1999
10.1.1.187.6602,Practical Large-Scale Optimization for Max-Norm Regularization,
10.1.1.187.2690,Practical Large-Scale Optimization for Max-Norm Regularization,
10.1.1.148.2577,Displaying 3D Images: Algorithms for Single Image Random Dot Stereograms,1994
10.1.1.133.788,Displaying 3D Images: Algorithms for Single Image Random Dot Stereograms,1994
10.1.1.43.9196,A Study of User Participation in Standards Setting,1996
10.1.1.107.4781,User Participation in Standards Setting,1998
